date,value
2010-01-01,2543508.02
2010-02-01,2530024.28
2010-03-01,2536551.95
2010-04-01,2532764.79
2010-05-01,2521687.94
2010-06-01,2518416.41
2010-07-01,2521104.8
2010-08-01,2520422.13
2010-09-01,2522094.23
2010-10-01,2530106.0
2010-11-01,2531232.26
2010-12-01,2646811.26
2011-01-01,2657360.1
2011-02-01,2663779.92
2011-03-01,2672031.38
2011-04-01,2679950.15
2011-05-01,2683973.45
2011-06-01,2693088.33
2011-07-01,2717525.97
2011-08-01,2709151.87
2011-09-01,2720060.44
2011-10-01,2727962.54
2011-11-01,2746799.26
2011-12-01,2756224.85
2012-01-01,2770124.65
2012-02-01,2777643.62
2012-03-01,2791565.95
2012-04-01,2802317.58
2012-05-01,2817982.27
2012-06-01,2829850.8
2012-07-01,2840049.63
2012-08-01,2857102.48
2012-09-01,2865789.74
2012-10-01,2881779.34
2012-11-01,2903346.97
2012-12-01,2912905.02
2013-01-01,2931381.51
2013-02-01,2953480.76
2013-03-01,2963147.07
2013-04-01,2972772.62
2013-05-01,2988661.4
2013-06-01,3000936.05
2013-07-01,3014697.69
2013-08-01,3030269.0
2013-09-01,3045861.58
2013-10-01,3063380.14
2013-11-01,3075875.88
2013-12-01,3090467.79
2014-01-01,3113002.96
2014-02-01,3133891.8
2014-03-01,3150697.02
2014-04-01,3173234.63
2014-05-01,3192546.34
2014-06-01,3209899.68
2014-07-01,3231535.62
2014-08-01,3248721.35
2014-09-01,3265101.43
2014-10-01,3275438.44
2014-11-01,3283048.38
2014-12-01,3309539.83
2015-01-01,3319930.47
2015-02-01,3337844.15
2015-03-01,3360575.76
2015-04-01,3382639.53
2015-05-01,3399365.69
2015-06-01,3425250.89
2015-07-01,3444143.74
2015-08-01,3460249.09
2015-09-01,3487879.79
2015-10-01,3502824.92
2015-11-01,3510642.87
2015-12-01,3400230.33
2016-01-01,3419541.48
2016-02-01,3438079.8
2016-03-01,3469147.01
2016-04-01,3490038.19
2016-05-01,3503723.51
2016-06-01,3525125.97
2016-07-01,3544185.32
2016-08-01,3565315.2
2016-09-01,3588380.68
2016-10-01,3601186.93
2016-11-01,3617030.41
2016-12-01,3636437.75
2017-01-01,3653334.44
2017-02-01,3670049.5
2017-03-01,3687391.01
2017-04-01,3702096.52
2017-05-01,3713714.97
2017-06-01,3730076.97
2017-07-01,3746255.82
2017-08-01,3758689.36
2017-09-01,3774834.53
2017-10-01,3796900.76
2017-11-01,3815576.66
2017-12-01,3830784.99
2018-01-01,3847852.48
2018-02-01,3863895.27
2018-03-01,3876825.89
2018-04-01,3884786.86
2018-05-01,3900697.67
2018-06-01,3903142.23
2018-07-01,3925600.56
2018-08-01,3945836.92
2018-09-01,3958356.01
2018-10-01,3976162.39
2018-11-01,3991299.11
2018-12-01,4007041.95
2019-01-01,4027126.21
2019-02-01,4039735.38
2019-03-01,4051283.51
2019-04-01,4068160.66
2019-05-01,4082900.98
2019-06-01,4093846.76
2019-07-01,4117949.98
2019-08-01,4133850.51
2019-09-01,4146108.73
2019-10-01,4163507.6
2019-11-01,4164527.56
2019-12-01,4192191.39
2020-01-01,4171617.45
2020-02-01,4185098.21
2020-03-01,4169625.96
2020-04-01,4105366.12
2020-05-01,4089170.25
2020-06-01,4101550.07
2020-07-01,4117867.62
2020-08-01,4113232.46
2020-09-01,4128741.9
2020-10-01,4134691.98
2020-11-01,4135727.09
2020-12-01,4149026.48
2021-01-01,4157571.02
2021-02-01,4176857.93
2021-03-01,4188484.51
2021-04-01,4205750.36
2021-05-01,4237470.5
2021-06-01,4388618.86
2021-07-01,4405901.33
2021-08-01,4423403.41
2021-09-01,4447135.68
2021-10-01,4464959.71
2021-11-01,4490204.4
2021-12-01,4512720.41
2022-01-01,4526943.79
2022-02-01,4558299.13
2022-03-01,4598631.98
2022-04-01,4631140.48
2022-05-01,4660972.28
2022-06-01,4698764.18
2022-07-01,4722381.39
2022-08-01,4752120.15
2022-09-01,4778706.17
2022-10-01,4812477.06
2022-11-01,4843070.13
2022-12-01,4858438.6
2023-01-01,4873574.92
2023-02-01,4885540.61
2023-03-01,4909166.07
2023-04-01,4920124.19
2023-05-01,4925699.5
2023-06-01,4948993.3
2023-07-01,4959788.93
2023-08-01,4946750.25
2023-09-01,4955832.25
2023-10-01,4969073.22
2023-11-01,4993197.93
2023-12-01,4988225.98
2024-01-01,5002475.58
2024-02-01,5015273.37
2024-03-01,5014899.75
2024-04-01,5016165.95
2024-05-01,5024842.11
2024-06-01,5026364.81
2024-07-01,5046177.04
2024-08-01,5055767.39
2024-09-01,5058345.12
2024-10-01,5071588.43
2024-11-01,5065689.77
2024-12-01,4947229.57
2025-01-01,4955619.41
2025-02-01,4957607.46
2025-03-01,5021864.24
2025-04-01,5038214.15
2025-05-01,5048281.76
2025-06-01,5043533.83
2025-07-01,5055914.29
2025-08-01,5058589.78
2025-09-01,5071963.3
2025-10-01,5079764.68
2025-11-01,5083079.48
2025-12-01,5098820.89
2026-01-01,5103211.6
2026-02-01,5110389.03
2026-03-01,5131428.8
2026-04-01,5151608.49
2026-05-01,5153586.64
2026-06-01,5168141.71
2026-07-01,5186204.07
