date,value
2010-01-01,5.78
2010-04-01,5.1
2010-07-01,4.58
2010-10-01,4.14
2011-01-01,3.82
2011-04-01,3.65
2011-07-01,3.45
2011-10-01,3.25
2012-01-01,3.06
2012-04-01,2.92
2012-07-01,2.82
2012-10-01,2.71
2013-01-01,2.64
2013-04-01,2.53
2013-07-01,2.44
2013-10-01,2.38
2014-01-01,2.32
2014-04-01,2.26
2014-07-01,2.2
2014-10-01,2.15
2015-01-01,2.11
2015-04-01,2.12
2015-07-01,2.15
2015-10-01,2.16
2016-01-01,2.15
2016-04-01,2.21
2016-07-01,2.29
2016-10-01,2.37
2017-01-01,2.4
2017-04-01,2.49
2017-07-01,2.54
2017-10-01,2.48
2018-01-01,2.5
2018-04-01,2.5
2018-07-01,2.52
2018-10-01,2.54
2019-01-01,2.54
2019-04-01,2.59
2019-07-01,2.6
2019-10-01,2.61
2020-01-01,2.69
2020-04-01,2.45
2020-07-01,1.99
2020-10-01,2.1
2021-01-01,1.88
2021-04-01,1.59
2021-07-01,1.53
2021-10-01,1.57
2022-01-01,1.69
2022-04-01,1.83
2022-07-01,2.05
2022-10-01,2.26
2023-01-01,2.47
2023-04-01,2.75
2023-07-01,2.95
2023-10-01,3.1
2024-01-01,3.17
2024-04-01,3.22
2024-07-01,3.2
2024-10-01,3.08
2025-01-01,3.05
2025-04-01,3.04
2025-07-01,2.99
2025-10-01,2.95
2026-01-01,2.91
2026-04-01,2.85
